# Expression descriptors.
calm confident expression
slight smile
soft smile
dangerous grin
melancholic gaze
serious stare
playful fang smile
quiet mysterious smile
cold queenly expression
gentle dreamy expression
villainess smile
focused battle expression
soft blush, composed face
sleepy elegant gaze
wide-eyed magic glow
smug smile, refined mood
romantic longing gaze
haunting blank stare
warm inviting smile
sharp predatory gaze
soft smile, direct eye contact
soft smile, glossy lips
soft smile, sharp eyelashes
soft smile, soft blush
soft smile, fangs visible
soft smile, red lipstick
soft smile, black lipstick
soft smile, subtle tears
soft smile, sensual mood
soft smile, dramatic face shadow
smug smile, direct eye contact
smug smile, glossy lips
smug smile, sharp eyelashes
smug smile, soft blush
smug smile, fangs visible
smug smile, red lipstick
smug smile, black lipstick
smug smile, subtle tears
smug smile, sensual mood
smug smile, dramatic face shadow
dangerous grin, direct eye contact
dangerous grin, glossy lips
dangerous grin, sharp eyelashes
dangerous grin, soft blush
dangerous grin, fangs visible
dangerous grin, red lipstick
dangerous grin, black lipstick
dangerous grin, subtle tears
dangerous grin, sensual mood
dangerous grin, dramatic face shadow
bedroom eyes, direct eye contact
bedroom eyes, glossy lips
bedroom eyes, sharp eyelashes
bedroom eyes, soft blush
bedroom eyes, fangs visible
bedroom eyes, red lipstick
bedroom eyes, black lipstick
bedroom eyes, subtle tears
bedroom eyes, sensual mood
bedroom eyes, dramatic face shadow
half-lidded gaze, direct eye contact
half-lidded gaze, glossy lips
half-lidded gaze, sharp eyelashes
half-lidded gaze, soft blush
half-lidded gaze, fangs visible
half-lidded gaze, red lipstick
half-lidded gaze, black lipstick
half-lidded gaze, subtle tears
half-lidded gaze, sensual mood
half-lidded gaze, dramatic face shadow
cold stare, direct eye contact
cold stare, glossy lips
cold stare, sharp eyelashes
cold stare, soft blush
cold stare, fangs visible
cold stare, red lipstick
cold stare, black lipstick
cold stare, subtle tears
cold stare, sensual mood
cold stare, dramatic face shadow
gentle blush, direct eye contact
gentle blush, glossy lips
gentle blush, sharp eyelashes
gentle blush, soft blush
gentle blush, fangs visible
gentle blush, red lipstick
gentle blush, black lipstick
gentle blush, subtle tears
gentle blush, sensual mood
gentle blush, dramatic face shadow
fang smile, direct eye contact
fang smile, glossy lips
fang smile, sharp eyelashes
fang smile, soft blush
fang smile, fangs visible
fang smile, red lipstick
fang smile, black lipstick
fang smile, subtle tears
fang smile, sensual mood
fang smile, dramatic face shadow
open mouth smile, direct eye contact
open mouth smile, glossy lips
open mouth smile, sharp eyelashes
open mouth smile, soft blush
open mouth smile, fangs visible
open mouth smile, red lipstick
open mouth smile, black lipstick
open mouth smile, subtle tears
open mouth smile, sensual mood
open mouth smile, dramatic face shadow
biting lower lip, direct eye contact
biting lower lip, glossy lips
biting lower lip, sharp eyelashes
biting lower lip, soft blush
biting lower lip, fangs visible
biting lower lip, red lipstick
biting lower lip, black lipstick
biting lower lip, subtle tears
biting lower lip, sensual mood
biting lower lip, dramatic face shadow
dreamy gaze, direct eye contact
dreamy gaze, glossy lips
dreamy gaze, sharp eyelashes
dreamy gaze, soft blush
dreamy gaze, fangs visible
dreamy gaze, red lipstick
dreamy gaze, black lipstick
dreamy gaze, subtle tears
dreamy gaze, sensual mood
dreamy gaze, dramatic face shadow
teasing expression, direct eye contact
teasing expression, glossy lips
teasing expression, sharp eyelashes
teasing expression, soft blush
teasing expression, fangs visible
teasing expression, red lipstick
teasing expression, black lipstick
teasing expression, subtle tears
teasing expression, sensual mood
teasing expression, dramatic face shadow
villainess smirk, direct eye contact
villainess smirk, glossy lips
villainess smirk, sharp eyelashes
villainess smirk, soft blush
villainess smirk, fangs visible
villainess smirk, red lipstick
villainess smirk, black lipstick
villainess smirk, subtle tears
villainess smirk, sensual mood
villainess smirk, dramatic face shadow
melancholic stare, direct eye contact
melancholic stare, glossy lips
melancholic stare, sharp eyelashes
melancholic stare, soft blush
melancholic stare, fangs visible
melancholic stare, red lipstick
melancholic stare, black lipstick
melancholic stare, subtle tears
melancholic stare, sensual mood
melancholic stare, dramatic face shadow
confident smile, direct eye contact
confident smile, glossy lips
confident smile, sharp eyelashes
confident smile, soft blush
confident smile, fangs visible
confident smile, red lipstick
confident smile, black lipstick
confident smile, subtle tears
confident smile, sensual mood
confident smile, dramatic face shadow
flustered expression, direct eye contact
flustered expression, glossy lips
flustered expression, sharp eyelashes
flustered expression, soft blush
flustered expression, fangs visible
flustered expression, red lipstick
flustered expression, black lipstick
flustered expression, subtle tears
flustered expression, sensual mood
flustered expression, dramatic face shadow
predatory gaze, direct eye contact
predatory gaze, glossy lips
predatory gaze, sharp eyelashes
predatory gaze, soft blush
predatory gaze, fangs visible
predatory gaze, red lipstick
predatory gaze, black lipstick
predatory gaze, subtle tears
predatory gaze, sensual mood
predatory gaze, dramatic face shadow
elegant bored expression, direct eye contact
elegant bored expression, glossy lips
elegant bored expression, sharp eyelashes
elegant bored expression, soft blush
elegant bored expression, fangs visible
elegant bored expression, red lipstick
elegant bored expression, black lipstick
elegant bored expression, subtle tears
elegant bored expression, sensual mood
elegant bored expression, dramatic face shadow
romantic longing eyes, direct eye contact
romantic longing eyes, glossy lips
romantic longing eyes, sharp eyelashes
romantic longing eyes, soft blush
romantic longing eyes, fangs visible
romantic longing eyes, red lipstick
romantic longing eyes, black lipstick
romantic longing eyes, subtle tears
romantic longing eyes, sensual mood
romantic longing eyes, dramatic face shadow
wide glowing eyes, direct eye contact
wide glowing eyes, glossy lips
wide glowing eyes, sharp eyelashes
wide glowing eyes, soft blush
wide glowing eyes, fangs visible
wide glowing eyes, red lipstick
wide glowing eyes, black lipstick
wide glowing eyes, subtle tears
wide glowing eyes, sensual mood
wide glowing eyes, dramatic face shadow
soft smile, lip gloss highlight
soft smile, clean teeth detail
soft smile, soft cheek blush
soft smile, eyeliner detail
soft smile, face framed by hair
soft smile, dramatic mouth shadow
soft smile, clear nose highlight
soft smile, symmetrical face
smug smile, lip gloss highlight
smug smile, clean teeth detail
smug smile, soft cheek blush
smug smile, eyeliner detail
smug smile, face framed by hair
smug smile, dramatic mouth shadow
smug smile, clear nose highlight
smug smile, symmetrical face
dangerous grin, lip gloss highlight
dangerous grin, clean teeth detail
dangerous grin, soft cheek blush
dangerous grin, eyeliner detail
dangerous grin, face framed by hair
dangerous grin, dramatic mouth shadow
dangerous grin, clear nose highlight
dangerous grin, symmetrical face
bedroom eyes, lip gloss highlight
bedroom eyes, clean teeth detail
bedroom eyes, soft cheek blush
bedroom eyes, eyeliner detail
bedroom eyes, face framed by hair
bedroom eyes, dramatic mouth shadow
bedroom eyes, clear nose highlight
bedroom eyes, symmetrical face
half-lidded gaze, lip gloss highlight
half-lidded gaze, clean teeth detail
half-lidded gaze, soft cheek blush
half-lidded gaze, eyeliner detail
half-lidded gaze, face framed by hair
half-lidded gaze, dramatic mouth shadow
half-lidded gaze, clear nose highlight
half-lidded gaze, symmetrical face
cold stare, lip gloss highlight
cold stare, clean teeth detail
cold stare, soft cheek blush
cold stare, eyeliner detail
cold stare, face framed by hair
cold stare, dramatic mouth shadow
cold stare, clear nose highlight
cold stare, symmetrical face
gentle blush, lip gloss highlight
gentle blush, clean teeth detail
gentle blush, soft cheek blush
gentle blush, eyeliner detail
gentle blush, face framed by hair
gentle blush, dramatic mouth shadow
gentle blush, clear nose highlight
gentle blush, symmetrical face
fang smile, lip gloss highlight
fang smile, clean teeth detail
fang smile, soft cheek blush
fang smile, eyeliner detail
fang smile, face framed by hair
fang smile, dramatic mouth shadow
fang smile, clear nose highlight
fang smile, symmetrical face
open mouth smile, lip gloss highlight
open mouth smile, clean teeth detail
open mouth smile, soft cheek blush
open mouth smile, eyeliner detail
open mouth smile, face framed by hair
open mouth smile, dramatic mouth shadow
open mouth smile, clear nose highlight
open mouth smile, symmetrical face
biting lower lip, lip gloss highlight
biting lower lip, clean teeth detail
biting lower lip, soft cheek blush
biting lower lip, eyeliner detail
biting lower lip, face framed by hair
biting lower lip, dramatic mouth shadow
biting lower lip, clear nose highlight
